timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1642073210372,41281,HTTP Request CodeIgniter,200,OK,Thread Group 1-78,text,true,,311904,134,64,64,https://codeigniter.herebussiness.com/,12001,0,1689
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-78,text,false,,834,0,64,64,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-78,text,false,,834,0,64,64,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-78,text,false,,834,0,64,64,null,0,0,0
1642073210319,41621,HTTP Request CodeIgniter,200,OK,Thread Group 1-64,text,true,,311918,134,63,63,https://codeigniter.herebussiness.com/,5024,0,1354
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-64,text,false,,834,0,63,63,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-64,text,false,,834,0,63,63,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-64,text,false,,834,0,63,63,null,0,0,0
1642073209167,42889,HTTP Request CodeIgniter,200,OK,Thread Group 1-36,text,true,,311904,134,62,62,https://codeigniter.herebussiness.com/,10980,0,1283
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-36,text,false,,834,0,62,62,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-36,text,false,,834,0,62,62,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-36,text,false,,834,0,62,62,null,0,0,0
1642073209044,43406,HTTP Request CodeIgniter,200,OK,Thread Group 1-27,text,true,,311904,134,61,61,https://codeigniter.herebussiness.com/,10860,0,2495
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-27,text,false,,834,0,61,61,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-27,text,false,,834,0,61,61,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-27,text,false,,834,0,61,61,null,0,0,0
1642073209009,43651,HTTP Request CodeIgniter,200,OK,Thread Group 1-19,text,true,,311904,134,60,60,https://codeigniter.herebussiness.com/,10448,0,1170
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-19,text,false,,834,0,60,60,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-19,text,false,,834,0,60,60,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-19,text,false,,834,0,60,60,null,0,0,0
1642073209734,43034,HTTP Request CodeIgniter,200,OK,Thread Group 1-43,text,true,,311904,134,59,59,https://codeigniter.herebussiness.com/,3506,0,1293
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-43,text,false,,834,0,59,59,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-43,text,false,,834,0,59,59,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-43,text,false,,834,0,59,59,null,0,0,0
1642073210584,42203,HTTP Request CodeIgniter,200,OK,Thread Group 1-88,text,true,,311904,134,58,58,https://codeigniter.herebussiness.com/,11770,0,1477
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-88,text,false,,834,0,58,58,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-88,text,false,,834,0,58,58,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-88,text,false,,834,0,58,58,null,0,0,0
1642073210613,42380,HTTP Request CodeIgniter,200,OK,Thread Group 1-92,text,true,,311904,134,57,57,https://codeigniter.herebussiness.com/,7118,0,1379
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-92,text,false,,834,0,57,57,null,0,0,0
